sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_ku70_1	PO1f_Cas9_ku70_2	PO1f_Cas9_ku70_3
1786	YALI1_B20192g	87	127	537	2	0	0
10846	YALI1_C23217g	201	318	301	0	46	5
5415	YALI1_E17760g	37	95	212	1	0	0
38595	YALI1_C19909g	161	279	317	192	346	348
30954	YALI1_F19106g	215	87	164	0	0	2
42075	YALI1_E40754g	83	142	146	5	2	8
21882	YALI1_E33056g	100	115	216	0	0	0
35168	YALI1_D03865g	85	226	967	2	0	0
46613	YALI1_F15265g	222	569	192	566	1316	927
9677	YALI1_B21043g	124	173	354	1	0	1
22879	YALI1_F16527g	322	544	440	0	1	0
20472	YALI1_D34022g	43	12	86	0	0	0
26985	YALI1_C29080g	94	204	188	16	62	59
15540	YALI1_D07348g	57	217	374	0	0	0
10149	YALI1_C03696g	235	240	308	3	1	3
28205	YALI1_D26943g	27	297	272	0	0	2
782	YALI1_A16681g	51	174	95	0	0	0
30898	YALI1_F17522g	185	149	329	0	0	0
37155	YALI1_B11131g	102	346	619	0	1	0
3343	YALI1_C33152g	115	404	549	0	1	0
8438	YALI1_A11745g	111	126	308	0	0	3
38142	YALI1_C07516g	287	465	874	977	1848	1304
45432	YALI1_E27041g	421	409	681	253	318	310
31466	YALI1_F32546g	126	232	219	175	165	66
32354	YALI1_A14670g	174	230	339	0	0	0
9500	YALI1_B16419g	112	102	398	13	62	84
35745	Nontargeting	163	849	858	857	1701	1262
20339	YALI1_D30161g	106	3	77	0	0	4
26611	YALI1_C17904g	206	247	146	0	0	2
7280	YALI1_F22836g	173	293	307	0	1	0
38327	YALI1_C13261g	127	376	374	0	0	2
45501	YALI1_E28425g	136	422	414	116	126	157
45384	YALI1_E25713g	63	165	276	0	0	0
47156	YALI1_F28998g	167	44	244	0	1	1
31612	YALI1_F35894g	132	262	798	14	22	24
13938	YALI1_B27057g	420	831	1480	4	1	2
4429	YALI1_D27637g	154	223	181	0	0	0
35912	YALI1_A02461g	170	206	342	195	63	252
758	YALI1_A16075g	101	163	204	0	0	4
2404	YALI1_C06597g	68	99	403	6	11	11
10171	YALI1_C04201g	92	98	314	3	6	10
39081	YALI1_D00406g	31	213	186	0	0	0
18539	YALI1_F06797g	13	110	86	0	0	0
9858	YALI1_B26033g	156	210	382	0	0	0
20117	YALI1_D24069g	178	384	345	0	1	2
18628	YALI1_F09211g	127	476	819	824	1826	1235
31968	YALI1_A04976g	503	419	690	0	0	1
34715	YALI1_C25093g	136	160	217	0	0	6
12218	YALI1_A05052g	95	156	419	1	0	0
8674	YALI1_A17515g	94	145	346	267	2	47
24920	YALI1_B02283g	137	289	549	0	0	1
9554	YALI1_B18069g	141	68	224	0	12	7
33459	YALI1_B20577g	172	294	487	0	0	0
30803	YALI1_F15641g	152	222	390	25	155	92
34632	YALI1_C22876g	116	338	190	0	0	0
29720	YALI1_E29557g	93	124	34	0	4	3
6651	YALI1_F07150g	188	236	840	90	188	162
17709	YALI1_E27144g	66	39	267	0	0	0
27659	YALI1_D12646g	56	193	42	1	0	0
26247	YALI1_C07614g	225	246	124	1	4	0
